n,area_wide,area_narrow,relative_error_wide,relative_error_narrow
73600,0.944474,0.9444,4.5722724909965416e-05,0.00012406963177915943
74100,0.94453,0.944446,1.3566826234216455e-05,7.536750048211511e-05
74600,0.945106,0.944649,0.000623402209432137,0.00013955712241570578
75100,0.946193,0.944832,0.0017742547468211725,0.0003333069056192516
75600,0.947651,0.94484,0.003317900560540927,0.00034177684149700865
76100,0.947557,0.944541,0.0032183788139773404,2.5212988066103025e-05
76600,0.948226,0.944755,0.003926677201754099,0.00025178377279592805
77100,0.948507,0.944679,0.004224183699459992,0.0001713193819573535
77600,0.947157,0.944638,0.0027948820200899577,0.0001279109605838192
78100,0.948437,0.944731,0.0041500717605296765,0.00022637396516265686
78600,0.94797,0.944624,0.0036556392536661077,0.00011308857279780312
79100,0.948,0.944699,0.003687401513207638,0.00019249422165162861
79600,0.947175,0.944741,0.0028139393758148524,0.00023696138500991194
80100,0.947574,0.944717,0.0032363774277176034,0.00021155157737664078
80600,0.947486,0.944564,0.0031432081330623933,4.9564053714625184e-05
81100,0.946919,0.944686,0.0025429014277268615,0.00017873057585036155
81600,0.945287,0.944535,0.0008150345086661848,1.8860536157844002e-05
82100,0.944977,0.94502,0.00048682449340339254,0.0005323503987463074
82600,0.945142,0.944869,0.0006615169208820437,0.0003724803590537898
83100,0.945422,0.944751,0.0009579646766031881,0.0002475488048570495
83600,0.946513,0.944868,0.00211305218193122,0.00037142161706915834
84100,0.94655,0.944876,0.002152225635365758,0.0003798915529469154
84600,0.946242,0.945129,0.001826133104072464,0.0006477532750806591
85100,0.946966,0.945196,0.002592662301008655,0.0007186889880568451
85600,0.946545,0.945277,0.0021469319254421304,0.0008044470888190472
86100,0.945114,0.945085,0.000631872145309894,0.0006011686277529953
86600,0.944709,0.945121,0.00020308164149888372,0.000639283339202902
87100,0.944308,0.945246,0.00022147389437324807,0.0007716260872927679
87600,0.944246,0.944999,0.0002871158974258065,0.0005101168170672832
88100,0.944846,0.944917,0.00034812929340526767,0.0004232999743203322
88600,0.94511,0.944997,0.0006276371773710155,0.0005079993330977852
89100,0.945044,0.945003,0.0005577602063795785,0.0005143517850061618
89600,0.944002,0.945198,0.0005454489416971617,0.0007208064720262256
90100,0.942648,0.945088,0.0019789855890060748,0.0006043448537072423
90600,0.942596,0.945136,0.0020340401722114955,0.0006551644689736672
91100,0.942759,0.945227,0.0018614652287023423,0.0007515099895831244
91600,0.943344,0.94492,0.0012421011676420333,0.0004264762002744617
92100,0.943396,0.944672,0.0011870465844366124,0.00016390818806422792
92600,0.943446,0.94468,0.0011341094852006896,0.00017237812394198498
93100,0.943601,0.944464,0.0009700044775692935,5.631014475722051e-05
93600,0.944065,0.944459,0.00047874819665985423,6.160385468073051e-05
94100,0.944835,0.944523,0.0003364831315733811,6.155632341208414e-06
94600,0.94611,0.944642,0.00168637916208959,0.00013214592852269774
95100,0.945531,0.944759,0.00107336755293754,0.00025601874073480656
95600,0.944959,0.944494,0.00046776713767849795,2.454788521569031e-05
96100,0.944393,0.94434,0.00013148082567216747,0.00018759415086233737
96600,0.942826,0.94404,0.0017905295157261563,0.0005052167462778744
97100,0.942777,0.943863,0.0018424078729774478,0.0006926140775730436
97600,0.943027,0.943901,0.0015777223767978335,0.0006523818821537565
98100,0.94387,0.943965,0.0006852028836800356,0.0005846223951317
98600,0.945394,0.94395,0.0009283199010310384,0.0006005035249025826
99100,0.944254,0.943725,0.00027864596154804946,0.0008387204714641767
99600,0.944785,0.943684,0.0002835460323374582,0.0008821288928377109
