500 63.6667 49 50 47.6667 30.3333 34.6667
600 76.6667 60.3333 60.6667 59 35 44
700 91.3333 73.3333 71.3333 69.3333 41.6667 50.6667
800 106 81 83 80.6667 46.6667 59
900 117.333 89.6667 90 89.3333 55 65.6667
1000 131.333 100 99.3333 102 60.6667 74.3333
1100 146.667 108.667 111 113.667 68 83.6667
1200 156 119.667 122.667 124.667 78 89
1300 173.667 137.333 133.333 134.667 77.3333 95
1400 181 140 140 143.333 84.3333 103.667
1500 189.333 148.667 147.333 152.667 92.6667 112.667
1600 205 160.667 152.333 159.333 101.333 123
1700 213.667 164.667 166 176.333 108.667 127.333
1800 228 170.333 179.333 178.667 110 135
1900 235.333 183.333 186 187 112.333 137.667
2000 241 186 189.333 197.333 126.667 150.667
2100 282.667 214.333 218 214 126.667 158.333
2200 282.667 215.667 216.333 223.667 133 164.333
2300 302 212 217 239.333 137.667 180
2400 304.333 227 239.333 255.667 149 184
2500 316.667 235.333 248.333 257.667 157.333 191.333
2600 337.667 245.333 259.333 280.333 168.667 209.667
2700 340 263 270 286.333 174.667 208.667
2800 366.333 267.333 282.333 301.667 184.667 226
2900 362.333 284 293 314 183.333 218.333
3000 397 291 307 326 190.667 242.667
3100 396.667 310.333 301 338 202.667 244
3200 427 318.333 327 348.333 208 256
3300 431.333 319 341 362 212.333 259.667
3400 459.333 332.333 355 377.667 215.333 273.667
3500 462.333 344.667 361 387 229.667 283
3600 472.333 348.667 364.333 404 233.667 287.333
3700 498.667 366.333 392.667 412 246.333 307
3800 510.333 380 393.667 418 247.667 309.333
3900 529.667 388 406.667 433.333 245 304
4000 529.667 397.333 425 447 256.333 319.333
4100 560.667 422 426.667 464.333 276.333 326.667
4200 555 429.667 443.333 474 278 342
4300 589 428.667 450.667 489.333 279 352.667
4400 590 455 483 492.333 301 359.667
4500 615.333 446.333 490.333 509.667 303 372.667
4600 629 466.333 471 522 304.333 383.333
4700 638.667 478.333 506.667 533.333 311 393
4800 642.667 482.667 528.333 559.667 322.667 394
4900 667.333 480.333 526.333 567.333 331.333 400.667
5000 694.333 516.333 532 584.333 345.667 418.667
5100 709.667 515 523 585 344.667 420.667
5200 716.333 519 566 609 352 419.333
5300 735.667 548.333 554.333 597.667 351 439.333
5400 731.333 571.667 591.667 617.667 361 453.333
5500 771 557.667 584 645.333 378 461.333
5600 781 566.333 602.333 640.333 385.667 470.667
5700 774.667 593.667 623.333 683 387.333 482.667
5800 783.333 589.333 658.333 673.667 383.667 498
5900 813 611.333 619.333 689.333 400.667 494
6000 833 626 639.667 694 397 511.333
6100 868 648.667 700.667 725.667 427.667 533.333
6200 861.667 664.667 700.333 758.333 431.333 548.667
6300 872.667 655.333 694.333 763 457 529
6400 913.667 676.333 727 760.333 432 521
6500 875.667 702.667 703 757.667 470.333 552
6600 903 713.667 763.667 781.333 443 578
6700 961 703.667 781.333 814.667 471.667 564.667
6800 930.667 728.667 799.667 792.667 488.333 582
6900 958.333 734.333 782 809 490.667 590.333
7000 988.333 762 792 843.667 482 602.333
7100 1001.33 776 811.333 836.667 503 634
7200 1014.33 774.333 872.333 981.667 570.333 643.333
7300 1123.67 792.333 840.333 901.667 542.667 665.333
7400 1066.67 817.667 832 896 540 652
7500 1131.33 820 862.333 936 555 703
7600 1132.33 840 855 927 582.667 671
7700 1109.33 876.667 797 894 581.333 665.333
7800 1072.33 864.333 856.667 888 565.667 644.333
7900 1083.33 807 866.333 910.667 575 683.667
8000 1096 823.667 894.333 945.333 574.333 690
8100 1223.33 930 939 995.667 615.333 717.333
8200 1229.67 888 923.333 1013 568.333 712
8300 1227.67 914.333 951.333 1037 640.667 767
8400 1261 960 978.667 1040.33 629.667 768.667
8500 1206 899.667 999.333 1008 650.333 714.667
8600 1229.33 885.667 933.667 1000.33 623.333 756.667
8700 1246 943.333 970.333 1087 648.667 783
8800 1321.33 985.333 1063.33 1108 652.667 785.667
8900 1329.33 986 996.333 1104.67 696 789
9000 1345 1023.33 1001.67 1134 670.333 789
9100 1269.67 929 965.667 1045.67 659.667 809.333
9200 1320.33 984.667 1031.67 1130.67 692 833
9300 1372.33 1074.33 1069 1103.33 687.667 793.667
9400 1360 1038.67 1022.67 1147.33 658.333 821.667
9500 1355 1046.67 1092.67 1188.33 735 864.667
9600 1414.33 1071.33 1089 1204 729.333 867.667
9700 1403.67 1131.67 1094.67 1177.33 747.667 795.333
9800 1425.67 1062 1080.67 1211.33 743.333 721.667
9900 1385 1107 1096 1229.67 732.667 701.667
10000 1460.67 1094 1121.67 1282.33 759 739
